graph_path;num_irred_sph;num_irred_aff;num_sph_rank_dm;num_sph_rank_d;num_aff_rank_dm;compact;finvol;time;comment
Tumarkin simplices/5-tum04_08_23-k=4-l=3-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=4-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_23-k=4-l=4-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_24-k=2-l=3-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/5-tum04_08_24-k=2-l=4-drop_5.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_01-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_01-drop_6.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_01-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_01-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_02-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_02-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_02-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_03-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_03-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_04-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_04-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_05-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_05-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_05-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_06-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_06-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_07-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_10-drop_8.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=2-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=2-l=3-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=2-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=2-l=4-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=3-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=3-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=4-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_11-k=4-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=2-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=2-l=3-drop_2.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=2-l=3-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=2-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=2-l=4-drop_2.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=2-l=4-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=3-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=3-l=3-drop_2.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=3-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=3-l=4-drop_2.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=4-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=4-l=3-drop_2.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=4-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_12-k=4-l=4-drop_2.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=3-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=3-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=4-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=2-l=4-drop_7.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=3-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=3-l=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=3-l=3-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=3-l=4-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=3-l=4-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=3-l=4-drop_4.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=4-l=3-drop_1.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=4-l=3-drop_3.coxiter;;;;;;false;false;;
Tumarkin simplices/6-tum04_09_13-k=4-l=3-drop_4.coxiter;;;;;;false;false;;
